iter	Passed	Remaining
399	95680	23920
400	95950	23688
401	96184	23447
402	96467	23219
403	96700	22978
404	97023	22758
405	97306	22528
406	97592	22299
407	97853	22064
408	98141	21835
409	98396	21599
410	98648	21361
411	98938	21132
412	99236	20904
413	99555	20680
414	99802	20441
415	100084	20209
416	100359	19975
417	100594	19733
418	100827	19491
419	101073	19252
420	101373	19022
421	101629	18784
422	101898	18548
423	102157	18311
424	102370	18065
425	102608	17824
426	102871	17586
427	103121	17347
428	103363	17106
429	103541	16855
430	103829	16622
431	104112	16388
432	104359	16148
433	104652	15914
434	104916	15677
435	105159	15436
436	105377	15191
437	105631	14952
438	105880	14712
439	106125	14471
440	106393	14234
441	106637	13993
442	106905	13755
443	107217	13522
444	107453	13280
445	107729	13043
446	108059	12812
447	108363	12577
448	108667	12343
449	108969	12107
450	109242	11868
451	109524	11630
452	109775	11389
453	110049	11150
454	110301	10908
455	110553	10667
456	110819	10427
457	111183	10195
458	111488	9958
459	111791	9721
460	112211	9492
461	112461	9250
462	112774	9012
463	113065	8772
464	113281	8526
465	113578	8286
466	113885	8047
467	114138	7804
468	114408	7562
469	114695	7320
470	114946	7077
471	115164	6831
472	115420	6588
473	115653	6343
474	115937	6101
475	116217	5859
476	116442	5614
477	116684	5370
478	116922	5126
479	117168	4882
480	117394	4637
481	117640	4393
482	117921	4150
483	118181	3906
484	118430	3662
485	118681	3418
486	118935	3174
487	119142	2929
488	119461	2687
489	119756	2444
490	120011	2199
491	120324	1956
492	120713	1713
493	121041	1470
494	121296	1225
495	121546	980
496	121818	735
497	122158	490
498	122437	245
499	122691	0
