iter	RMSE
0	20.92301743
1	19.69808465
2	18.63725069
3	17.7280804
4	16.92555526
5	16.25689447
6	15.66378718
7	15.17767702
8	14.75063995
9	14.37544686
10	14.04698886
11	13.77972403
12	13.54744869
13	13.34884099
14	13.17796306
15	13.03197688
16	12.90986296
17	12.78493794
18	12.65797824
19	12.54865617
20	12.42304201
21	12.34216114
22	12.20868187
23	12.08000379
24	11.98457064
25	11.90174182
26	11.82584639
27	11.76308587
28	11.70278994
29	11.64544391
30	11.59513625
31	11.55187009
32	11.51320136
33	11.48638244
34	11.45903713
35	11.42360471
36	11.38951735
37	11.34683562
38	11.31738689
39	11.29135074
40	11.25886654
41	11.22735252
42	11.20644229
43	11.17661342
44	11.15935771
45	11.13178076
46	11.09443303
47	11.07565964
48	11.04529462
49	11.02170027
50	11.00352901
51	10.98623301
52	10.96073606
53	10.94695094
54	10.92552364
55	10.91296192
56	10.89135242
57	10.86905445
58	10.85274337
59	10.83496647
60	10.82035386
61	10.80533802
62	10.78641521
63	10.77505797
64	10.75259331
65	10.73641345
66	10.72572534
67	10.70582531
68	10.69242099
69	10.67543344
70	10.66064175
71	10.64192361
72	10.63120701
73	10.61830796
74	10.60689065
75	10.59073435
76	10.58058282
77	10.5582667
78	10.54970645
79	10.53397055
80	10.52328264
81	10.50848469
82	10.50059013
83	10.48797242
84	10.4804536
85	10.47298519
86	10.45999823
87	10.44936127
88	10.43664495
89	10.42912249
90	10.41824271
91	10.40712944
92	10.39461176
93	10.37609079
94	10.36203276
95	10.34916279
96	10.34309297
97	10.33134475
98	10.32107208
99	10.32043083
100	10.31171422
101	10.30117738
102	10.29350019
103	10.2873087
104	10.26667745
105	10.25424466
106	10.24505276
107	10.23436035
108	10.22748411
109	10.21573782
110	10.20759097
111	10.20111772
112	10.19490703
113	10.17889685
114	10.17362717
115	10.16456859
116	10.1575019
117	10.15077295
118	10.14208997
119	10.1383009
120	10.11848399
121	10.11178548
122	10.10117843
123	10.09292067
124	10.08493718
125	10.0741005
126	10.06547437
127	10.05775534
128	10.05206
129	10.04139507
130	10.02879029
131	10.01517148
132	10.00223548
133	9.992653826
134	9.988120874
135	9.977251347
136	9.965709385
137	9.957418521
138	9.947454631
139	9.942311634
140	9.931558569
141	9.921521064
142	9.912813508
143	9.907546741
144	9.900431074
145	9.894055565
146	9.887082041
147	9.880354576
148	9.870386048
149	9.865588982
150	9.85544301
151	9.849297652
152	9.843291209
153	9.833004199
154	9.82507396
155	9.816135034
156	9.811082048
157	9.802319772
158	9.79118873
159	9.782465329
160	9.770452619
161	9.764160581
162	9.759860065
163	9.752923608
164	9.742762615
165	9.738851912
166	9.728925159
167	9.722297726
168	9.715836878
169	9.708217106
170	9.698600802
171	9.696048572
172	9.68956591
173	9.684428263
174	9.67223178
175	9.665402513
176	9.662678516
177	9.655952752
178	9.652157108
179	9.647205509
180	9.639521596
181	9.634986801
182	9.629514588
183	9.621207831
184	9.618051884
185	9.614089116
186	9.60751261
187	9.601383908
188	9.59286063
189	9.588690889
190	9.5805831
191	9.574687341
192	9.569470197
193	9.564442314
194	9.558111932
195	9.553142403
196	9.548329296
197	9.541190581
198	9.533540827
199	9.528341991
200	9.520596361
201	9.514923158
202	9.508659292
203	9.502431676
204	9.495578586
205	9.48756126
206	9.483511701
207	9.476957834
208	9.471794302
209	9.466961348
210	9.462156446
211	9.458814666
212	9.449840238
213	9.444401159
214	9.440510721
215	9.433136216
216	9.427695601
217	9.423090893
218	9.419785386
219	9.416740263
220	9.405745131
221	9.400827378
222	9.397948201
223	9.393894981
224	9.389008567
225	9.385269878
226	9.379941887
227	9.37591444
228	9.369949952
229	9.365328368
230	9.361608659
231	9.357553681
232	9.35476425
233	9.351599217
234	9.347948582
235	9.343358105
236	9.340568749
237	9.332385145
238	9.328937372
239	9.324214877
240	9.320282468
241	9.316314616
242	9.313652269
243	9.310852045
244	9.305379023
245	9.304260737
246	9.297481491
247	9.29316895
248	9.28831882
249	9.282356118
250	9.274940366
251	9.272894572
252	9.26826427
253	9.262370727
254	9.2600039
255	9.256561481
256	9.252735478
257	9.248683328
258	9.243850629
259	9.236929501
260	9.231499703
261	9.227232553
262	9.225996001
263	9.222741141
264	9.216686064
265	9.212762866
266	9.209649271
267	9.207764632
268	9.205289101
269	9.200860766
270	9.197362937
271	9.19402981
272	9.19169008
273	9.187444412
274	9.1837924
275	9.182340262
276	9.179419628
277	9.173693698
278	9.170848441
279	9.16713023
280	9.163446667
281	9.16037796
282	9.15863535
283	9.155060687
284	9.150181639
285	9.146568628
286	9.140502906
287	9.138094665
288	9.134013128
289	9.130110552
290	9.125422732
291	9.123525482
292	9.119583181
293	9.115856823
294	9.111250661
295	9.107547899
296	9.104631243
297	9.099602038
298	9.096098309
299	9.094293272
300	9.090073115
301	9.084860868
302	9.07989131
303	9.076788078
304	9.073072749
305	9.070265933
306	9.06470356
307	9.059352199
308	9.054945383
309	9.049491237
310	9.043296098
311	9.040915391
312	9.03360294
313	9.026027606
314	9.020367503
315	9.014373598
316	9.010823982
317	9.007034017
318	9.002166564
319	8.99795148
320	8.989083855
321	8.986649693
322	8.983843567
323	8.979394739
324	8.975118163
325	8.969833168
326	8.966035808
327	8.962590816
328	8.959498908
329	8.957936145
330	8.955116526
331	8.948825858
332	8.947289782
333	8.945657451
334	8.942442732
335	8.939522646
336	8.932576857
337	8.929891197
338	8.924993475
339	8.921848639
340	8.918194242
341	8.913880062
342	8.910766048
343	8.908012313
344	8.902024358
345	8.898734184
346	8.895570382
347	8.892142947
348	8.890374101
349	8.885177942
350	8.883669532
351	8.880257119
352	8.878865464
353	8.873787747
354	8.868866378
355	8.866603789
356	8.864256698
357	8.858741991
358	8.853688815
359	8.848721319
360	8.845410159
361	8.838498896
362	8.834365999
363	8.831715981
364	8.828667661
365	8.825586301
366	8.819597402
367	8.814813635
368	8.809733853
369	8.806736285
370	8.801360211
371	8.798995007
372	8.7958575
373	8.792677938
374	8.790533297
375	8.787802546
376	8.785716255
377	8.783101595
378	8.779765902
379	8.773364087
380	8.771746725
381	8.769751439
382	8.766361361
383	8.762247608
384	8.75846012
385	8.75465056
386	8.752143183
387	8.748116836
388	8.743647326
389	8.740290138
390	8.734979281
391	8.73279001
392	8.727063559
393	8.721555719
394	8.717993546
395	8.712419151
396	8.70964227
397	8.707254654
398	8.703373633
399	8.698588142
400	8.694234467
401	8.690953508
402	8.688263029
403	8.684681577
404	8.68106827
405	8.679137547
406	8.674880017
407	8.668594508
408	8.665493231
409	8.663370654
410	8.658069713
411	8.656734778
412	8.65464638
413	8.65221932
414	8.650475665
415	8.645533789
416	8.643260846
417	8.638793186
418	8.633473304
419	8.631787298
420	8.629600024
421	8.626940585
422	8.624349919
423	8.620219821
424	8.618433222
425	8.615290343
426	8.611925747
427	8.609263823
428	8.605434279
429	8.603605723
430	8.60021708
431	8.598503022
432	8.596162763
433	8.594242034
434	8.590688795
435	8.587779378
436	8.584310128
437	8.582770391
438	8.58046741
439	8.575820583
440	8.571532004
441	8.570420998
442	8.566784916
443	8.563386069
444	8.560601237
445	8.55431921
446	8.552141481
447	8.550292665
448	8.546856035
449	8.542977072
450	8.537086151
451	8.532084793
452	8.528146427
453	8.524659816
454	8.521557566
455	8.519530526
456	8.516200104
457	8.512495294
458	8.507554799
459	8.506015457
460	8.50236886
461	8.50046619
462	8.496813882
463	8.495194029
464	8.492514356
465	8.490126353
466	8.488239116
467	8.486486855
468	8.484137989
469	8.48112592
470	8.478512492
471	8.474757128
472	8.470342921
473	8.467832379
474	8.465169248
475	8.462360182
476	8.4611412
477	8.458632094
478	8.455041577
479	8.452924189
480	8.448835318
481	8.445939364
482	8.442071133
483	8.438012675
484	8.435110039
485	8.432571208
486	8.429422472
487	8.428282071
488	8.423160764
489	8.420328887
490	8.418304238
491	8.415268602
492	8.413752188
493	8.411695179
494	8.408748818
495	8.404110623
496	8.401013228
497	8.398178875
498	8.396656044
499	8.392981379
