song_name,artist,popularity,explicit,tempo,valence,energy,danceability,acousticness,duration_minutes,track_genre,year,category,first_chart_date,billboard_peak,total_weeks_on_chart
seven nation army,the white stripes,84,false,123.596,0.278,0.446,0.743,0.0039,3.8684333333333334,"alt-rock, rock, blues, alternative",2003,best rock song,2003-05-24,76,210
speechless,dan shay,72,false,135.929,0.386,0.438,0.616,0.356,3.5564333333333336,country,2019,best country song,2018-09-22,24,820
on the road again,canned heat,51,false,129.524,0.205,0.156,0.496,0.777,3.4388833333333335,psych-rock,1980,best country song,1968-08-10,16,66
empire state of mind,glee cast,47,false,173.566,0.717,0.883,0.508,0.0617,4.622433333333333,club,2010,best rap song,2010-10-09,21,3
i cant stop loving you,ray charles,63,false,79.397,0.377,0.279,0.31,0.815,4.268666666666667,"piano, blues",1962,best rhythm blues recording,1962-05-05,1,171
superstition,stevie wonder,4,false,100.82,0.877,0.583,0.611,0.057,4.4622166666666665,"indie, funk, soul",1973,best rhythm blues song,1972-11-18,1,136
skyfall,adele,78,false,75.881,0.0789,0.552,0.346,0.417,4.774666666666667,"soul, british",2013,best song written for visual media,2012-10-20,8,210
always on my mind,pet shop boys,71,false,124.874,0.726,0.783,0.533,0.0116,3.9151000000000002,synth-pop,1982,best country song,1988-03-26,4,120
just the way you are,bruno mars,82,false,109.021,0.424,0.841,0.635,0.0134,3.6789,dance,1978,song of the year,2010-08-07,1,1176
i will survive,gloria gaynor,69,false,116.935,0.802,0.775,0.77,0.0227,4.9351,disco,1979,best disco recording,1978-12-16,1,378
walk,foo fighters,70,false,137.107,0.194,0.865,0.234,0.0000362,4.266,"metal, grunge",2011,best rock song,2011-07-23,83,91
thats what i like,bruno mars,83,false,134.066,0.86,0.56,0.853,0.013,3.4448833333333333,dance,2017,best rb song,2016-12-10,1,1329
kiss from a rose,seal,74,false,131.745,0.224,0.533,0.584,0.684,4.8071,"british, soul",1995,song of the year,1995-06-24,1,666
what a fool believes,the doobie brothers,0,false,120.656,0.977,0.625,0.646,0.275,3.6595500000000003,"folk, blues, country, songwriter, hard-rock, singer-songwriter",1979,song of the year,1979-01-20,1,210
hello,lionel richie,68,false,61.648,0.0606,0.222,0.424,0.646,4.11555,disco,2016,song of the year,1984-02-25,1,300
toxic,glee cast,46,false,132.582,0.485,0.74,0.606,0.131,3.4068833333333335,club,2004,best dance recording,2010-10-16,16,1
sailing,rod stewart,2,false,128.791,0.189,0.375,0.43,0.374,4.632666666666667,rock,1980,song of the year,1975-10-18,58,28
you say,lauren daigle,75,false,147.873,0.0797,0.632,0.494,0.682,4.578216666666667,"alt-rock, alternative",2018,best contemporary christian music performancesong,2018-07-28,29,946
run,leona lewis,62,false,142.365,0.0923,0.462,0.285,0.428,5.245333333333334,british,2017,best rock song,2009-01-03,81,1
7 rings,ariana grande,84,true,140.048,0.327,0.317,0.778,0.592,2.9771,"pop, dance",2019,record of the year,2019-02-02,1,561
before he cheats,carrie underwood,78,false,147.905,0.29,0.749,0.519,0.271,3.3324333333333334,country,2007,best country song,2006-09-16,8,2080
9 to 5,dolly parton,77,false,105.39,0.813,0.783,0.554,0.416,2.7077666666666667,country,1981,best country song,1980-11-29,1,351
no one,alicia keys,78,false,90.04,0.167,0.549,0.644,0.0209,4.230216666666667,soul,2007,best rb song,2007-09-22,1,780
every breath you take,the police,86,false,117.401,0.74,0.452,0.82,0.543,4.232,rock,1983,song of the year,1983-06-04,1,253
lonely boy,andrew gold,56,false,123.724,0.866,0.598,0.588,0.0386,4.414883333333334,power-pop,2012,best rock song,1977-03-19,7,231
if you dont know me by now,simply red,0,false,93.893,0.192,0.307,0.654,0.514,3.4337666666666666,"r-n-b, british, soul",1989,best rhythm blues song,1989-05-06,1,253
home,phillip phillips,60,false,121.04,0.322,0.826,0.606,0.0256,3.5028833333333336,folk,2002,best recording package,2012-06-09,6,820
how far ill go,aulii cravalho,49,false,83.72,0.108,0.307,0.571,0.649,2.7231,"disney, show-tunes",2017,best song written for visual media,2016-12-17,41,210
god only knows,the beach boys,50,false,115.876,0.334,0.469,0.433,0.156,2.9297666666666666,psych-rock,2019,best contemporary christian music performancesong,1966-08-13,39,36
i feel for you,chaka khan,0,false,124.881,0.924,0.925,0.794,0.0118,3.648,"soul, funk, disco",1984,best rhythm blues song,1984-09-08,3,351
girl crush,little big town,70,false,173.788,0.355,0.225,0.5,0.842,3.222,country,2015,best country song,2015-02-21,18,300
revenge,xxxtentacion,87,true,139.999,0.18,0.251,0.746,0.782,2.0004333333333335,emo,1967,best comedy recording,2017-09-16,77,3
walk,kodak black,0,true,130.04,0.17,0.512,0.817,0.037,2.767316666666667,hip-hop,2011,best rock song,2022-10-22,100,1
im ready,fats domino,32,false,85.845,0.971,0.934,0.652,0.629,2.052216666666667,"blues, rockabilly, rock-n-roll, piano",1978,best ethnic or traditional recording,1959-05-11,16,66
just the way you are,glee cast,43,false,108.985,0.366,0.719,0.606,0.00864,3.60155,club,1978,song of the year,2010-12-11,40,1
rolling in the deep,adele,81,true,104.948,0.507,0.769,0.73,0.138,3.80155,"soul, british",2011,song of the year,2010-12-25,1,2145
need you now,glee cast,45,false,108.037,0.248,0.674,0.55,0.0881,3.6235500000000003,club,2010,record of the year,2011-02-19,62,3
bless the broken road,rascal flatts,36,false,135.962,0.362,0.448,0.588,0.668,3.778216666666667,country,2005,best country song,2004-12-18,29,210
